classification,avg_leverage,trade_count,long_short_ratio
Extreme Greed,1.0,1392.4,18.192477136196104
Fear,1.0,2821.6140350877195,2.1531455805491873
Greed,1.0,1134.03125,8.723971994515614
Neutral,1.0,892.625,1.2432876865572562
